Cycle,ETH In Cycle,Q Produced,Total Batches,Total Staked Q,Change in Stake,ETH Burned
0,71.268,59.751,7699,59.751,0.0,0.598
1,22.067,28.815,2993,74.316,14.565,0.288
2,14.169,20.632,6020,93.326,19.01,0.206
3,8.044,14.599,10686,107.663,14.337,0.146
4,5.316,16.054,1454,129.371,21.708,0.161
5,4.421,8.499,616,133.226,3.855,0.085
6,8.823,12.441,1218,123.795,-9.431,0.124
7,8.003,15.785,1116,145.492,21.697,0.158
8,8.971,15.335,1227,155.474,9.982,0.153
9,38.199,60.103,19673,204.619,49.145,0.601
10,52.134,74.587,13195,257.144,52.525,0.746
11,53.904,55.998,19364,288.909,31.765,0.56
12,26.967,20.294,32629,287.313,-1.596,0.203
13,14.496,13.534,22338,312.027,24.714,0.135
14,27.614,31.865,18360,343.829,31.802,0.319
15,91.976,119.875,45986,443.137,99.308,1.2
16,135.681,170.952,118018,571.169,128.032,1.711
17,51.657,60.245,414321,601.015,29.846,0.603
18,38.54,43.202,23100,622.159,21.144,0.432
19,7.559,8.636,1952,628.984,6.825,0.086
20,3.9,5.895,1059,614.296,-14.688,0.059
21,9.352,12.351,2568,618.743,4.447,0.124
22,22.991,38.652,5961,670.145,51.402,0.387
23,13.345,18.953,21294,678.279,8.134,0.19
24,9.453,21.553,41335,693.423,15.144,0.216
25,1.985,4.295,279,670.063,-23.36,0.043
26,1.237,1.333,174,702.119,32.056,0.013
27,0.437,1.044,62,697.124,-4.995,0.01
28,1.151,4.51,152,692.843,-4.281,0.045
29,1.177,4.501,330,696.253,3.41,0.045
30,1.164,3.433,154,712.948,16.695,0.034
31,3.767,11.439,1004,720.536,7.588,0.115
32,0.912,3.702,128,722.955,2.419,0.037
33,1.01,3.669,139,719.424,-3.531,0.037
34,1.282,5.659,175,729.177,9.753,0.057
35,1.981,7.463,265,733.915,4.738,0.075
36,1.903,5.188,443,734.258,0.343,0.052
37,6.774,23.545,1823,760.035,25.777,0.236
38,4.583,12.518,1140,767.159,7.124,0.125
39,2.63,9.436,712,772.888,5.729,0.095
40,0.339,0.971,48,769.492,-3.396,0.01
